src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_iat_min,tot_fwd_pkts,fwd_seg_size_min,target,
192.168.1.132,192.168.40.20,39700,1883,6,68.66455078,0,1,20,0,
192.168.1.175,192.168.40.20,5098,1883,6,67.71087646,0,1,20,0,
192.168.1.23,192.168.40.20,58274,1883,6,78.43971252,0,1,20,0,
192.168.1.234,192.168.40.20,15006,1883,6,66.75720215,0,1,20,0,
192.168.1.11,192.168.40.20,46465,1883,6,46.49162292,0,1,20,0,
192.168.1.151,192.168.40.20,55232,1883,6,76.53236389,0,1,20,0,
192.168.1.188,192.168.40.20,18685,1883,6,64.61143494,0,1,20,0,
192.168.1.233,192.168.40.20,241,1883,6,66.04194641,0,1,20,0,
192.168.1.44,192.168.40.20,19332,1883,6,48.87580872,0,1,20,0,
192.168.1.93,192.168.40.20,19745,1883,6,37.19329834,0,1,20,0,
192.168.1.201,192.168.40.20,57219,1883,6,70.09506226,0,1,20,0,
192.168.1.217,192.168.40.20,59150,1883,6,34.80911255,0,1,20,0,
192.168.1.163,192.168.40.20,10422,1883,6,48.39897156,0,1,20,0,
192.168.1.75,192.168.40.20,14730,1883,6,73.67134094,0,1,20,0,
192.168.1.122,192.168.40.20,61387,1883,6,78.20129395,0,1,20,0,
192.168.1.0,192.168.40.20,57141,1883,6,59.60464478,0,1,20,0,
192.168.1.100,192.168.40.20,34458,1883,6,31.9480896,0,1,20,0,
192.168.40.74,192.168.40.20,52499,1883,6,12885.09369,0.238418579,6,20,0,
192.168.1.56,192.168.40.20,47991,1883,6,72.71766663,0,1,20,0,
192.168.1.185,192.168.40.20,7805,1883,6,23.12660217,0,1,20,0,
192.168.1.180,192.168.40.20,21568,1883,6,45.77636719,0,1,20,0,
192.168.1.56,192.168.40.20,48815,1883,6,78.91654968,0,1,20,0,
192.168.1.149,192.168.40.20,30314,1883,6,44.58427429,0,1,20,0,
192.168.1.20,192.168.40.20,63589,1883,6,45.53794861,0,1,20,0,
192.168.1.214,192.168.40.20,22491,1883,6,66.04194641,0,1,20,0,
192.168.1.242,192.168.40.20,27826,1883,6,48.39897156,0,1,20,0,
192.168.1.213,192.168.40.20,3062,1883,6,67.23403931,0,1,20,0,
192.168.1.172,192.168.40.20,43177,1883,6,48.39897156,0,1,20,0,
192.168.1.247,192.168.40.20,5746,1883,6,41.00799561,0,1,20,0,
192.168.1.77,192.168.40.20,62198,1883,6,86.30752563,0,1,20,0,
192.168.1.180,192.168.40.20,22368,1883,6,78.20129395,0,1,20,0,
192.168.1.231,192.168.40.20,3187,1883,6,45.29953003,0,1,20,0,
192.168.1.172,192.168.40.20,57192,1883,6,66.28036499,0,1,20,0,
192.168.1.222,192.168.40.20,14221,1883,6,57.69729614,0,1,20,0,
192.168.1.167,192.168.40.20,38476,1883,6,70.33348083,0,1,20,0,
192.168.1.10,192.168.40.20,44988,1883,6,89.16854858,0,1,20,0,
192.168.1.106,192.168.40.20,25834,1883,6,68.18771362,0,1,20,0,
192.168.1.6,192.168.40.20,29671,1883,6,54.83627319,0,1,20,0,
192.168.1.218,192.168.40.20,53830,1883,6,65.80352783,0,1,20,0,
192.168.1.142,192.168.40.20,51516,1883,6,55.78994751,0,1,20,0,
192.168.1.65,192.168.40.20,41718,1883,6,96.79794312,0,1,20,0,
192.168.1.107,192.168.40.20,56723,1883,6,49.11422729,0,1,20,0,
192.168.1.19,192.168.40.20,38584,1883,6,67.23403931,0,1,20,0,
192.168.1.34,192.168.40.20,41083,1883,6,53.6441803,0,1,20,0,
192.168.1.143,192.168.40.20,58739,1883,6,48.87580872,0,1,20,0,
192.168.1.77,192.168.40.20,13349,1883,6,53.16734314,0,1,20,0,
192.168.1.27,192.168.40.20,50413,1883,6,47.9221344,0,1,20,0,
192.168.1.47,192.168.40.20,4490,1883,6,88.69171143,0,1,20,0,
192.168.1.36,192.168.40.20,4525,1883,6,59.12780762,0,1,20,0,
192.168.1.204,192.168.40.20,25519,1883,6,54.83627319,0,1,20,0,
192.168.1.163,192.168.40.20,24539,1883,6,23.12660217,0,1,20,0,
192.168.1.133,192.168.40.20,52560,1883,6,75.57868958,0,1,20,0,
192.168.1.235,192.168.40.20,64859,1883,6,70.57189941,0,1,20,0,
192.168.1.65,192.168.40.20,41656,1883,6,36.23962402,0,1,20,0,
192.168.1.22,192.168.40.20,38106,1883,6,60.55831909,0,1,20,0,
192.168.1.164,192.168.40.20,53588,1883,6,56.98204041,0,1,20,0,
192.168.1.199,192.168.40.20,37423,1883,6,100.1358032,0,1,20,0,
192.168.1.111,192.168.40.20,18480,1883,6,58.65097046,0,1,20,0,
192.168.1.114,192.168.40.20,12612,1883,6,55.55152893,0,1,20,0,
192.168.1.193,192.168.40.20,36525,1883,6,26.2260437,0,1,20,0,
192.168.1.100,192.168.40.20,58955,1883,6,61.27357483,0,1,20,0,
192.168.1.118,192.168.40.20,61959,1883,6,25.27236938,0,1,20,0,
192.168.1.106,192.168.40.20,47770,1883,6,51.02157593,0,1,20,0,
192.168.1.237,192.168.40.20,40235,1883,6,66.04194641,0,1,20,0,
192.168.1.161,192.168.40.20,43435,1883,6,40.29273987,0,1,20,0,
192.168.1.242,192.168.40.20,46492,1883,6,82.73124695,0,1,20,0,
192.168.1.19,192.168.40.20,8295,1883,6,71.52557373,0,1,20,0,
